#,Benchmark,Question_ID,Step
1,swe_bench_pro,instance_NodeBB__NodeBB-087e6020__9FidFWH,562
11,swe_bench_pro,instance_ansible__ansible-cd473d__MTyzaqb,164
14,swe_bench_pro,instance_element-hq__element-web__pJFwUrW,96
30,swe_bench_pro,instance_internetarchive__openli__nLsXevh,325
46,terminal_bench_2,overfull-hbox__7wZ6ek5,204
49,terminal_bench_2,reshard-c4-data__DyStrdT,219
56,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0582__run_0001,210
65,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0047__run_0001,87
73,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0521__run_0001,109
75,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0910__run_0001,231
78,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_validation__0009__run_0001,177
100,webarena_verified,webarena_verified__minimax_m2_5__shopping_full_20260317_182910__657__run_0001,63
